severity,category,code,name,title,detail,next_action,due_date,source,priority_score
critical,DART 원문,121850,코이즈,코이즈 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,82.0
critical,DART 원문,091340,S&K폴리텍,S&K폴리텍 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,74.7
critical,감사의견,313760,캐리,캐리 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,66.9
critical,DART 원문,016100,리더스코스메틱,리더스코스메틱 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,64.3
critical,감사의견,101390,아이엠,아이엠 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,62.4
critical,DART 원문,060230,제이케이시냅스,제이케이시냅스 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,60.7
critical,DART 원문,123840,뉴온,뉴온 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,59.8
critical,DART 원문,084180,수성웹툰,수성웹툰 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,56.4
critical,DART 원문,042040,케이피엠테크,케이피엠테크 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,56.0
critical,감사의견,030350,드래곤플라이,드래곤플라이 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,53.2
